Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t4
683.025450602,131.0
685.585608953,131.0
688.141220655,132.0
690.701415735,135.0
693.261788589,138.0
695.816738706,143.0
698.376655165,145.0
700.932657775,145.0
703.492584962,145.0
706.047659093,145.0
708.607772133,145.0
711.16332658,145.0
713.723926372,145.0
716.283858648,145.0
718.838563539,145.0
721.398690423,144.0
723.95434251,144.0
726.515104881,144.0
729.069616315,147.0
731.630018809,150.0
734.185361517,152.0
736.745615736,153.0
739.30596651,153.0
741.860385767,153.0
744.420949035,153.0
746.976430608,153.0
749.537020416,153.0
752.091631738,153.0
754.651769553,153.0
757.207675929,153.0
759.767659701,153.0
762.328450239,154.0
764.882752696,157.0
767.442890086,158.0
769.998359869,158.0
772.55858071,158.0
775.113829435,158.0
777.673836185,158.0
780.229636745,158.0
782.789587925,157.0
785.349799788,157.0
787.904936803,157.0
790.465083124,157.0
793.020936605,157.0
795.580744686,157.0
798.13591306,157.0
800.695863287,157.0
803.256201266,157.0
805.812154663,157.0
808.371948695,157.0
810.92699864,157.0
813.48708912,157.0
816.042763977,156.0
818.60285338,156.0
821.157673643,156.0
823.718209921,156.0
826.278038403,156.0
828.834082492,156.0
831.393922368,156.0
833.948925129,156.0
836.509348995,156.0
839.065376797,156.0
841.625377962,156.0
844.179622166,156.0
846.740059904,156.0
849.300058906,156.0
850.245794884,155.0
851.856017661,155.0
854.416665556,155.0
856.971201949,155.0
859.531531445,155.0
862.086785179,155.0
864.647030772,155.0
867.201932382,155.0
869.762293354,155.0
872.322724824,155.0
874.877886225,155.0
877.438291784,155.0
879.992939062,155.0
882.553391124,155.0
885.109157551,155.0
887.669250557,154.0
890.224383582,154.0
892.784300574,154.0
895.344567218,154.0
897.899967356,154.0
900.46021316,154.0
903.015611454,154.0
905.575596813,154.0
908.130967774,154.0
910.691212562,154.0
913.246288162,154.0
915.806693106,154.0
918.366843963,154.0
920.922423402,154.0
923.482259206,154.0
926.037431171,153.0
928.59737392,153.0
931.153024304,153.0
933.713481246,153.0
936.273465044,153.0
938.828736661,153.0
941.388735924,153.0
943.944106548,153.0
946.504584141,153.0
949.059561811,153.0
951.619810069,153.0
954.175061666,153.0
956.735353041,153.0
959.295427451,153.0
961.850756017,153.0
964.410968663,152.0
966.966380034,152.0
969.526797517,152.0
972.08173509,152.0
974.641880075,152.0
977.197112226,152.0
979.757367818,152.0
982.317938157,152.0
984.872720268,152.0
987.433380682,152.0
989.988403584,152.0
992.548579567,152.0
995.103822874,152.0
997.663907585,152.0
1000.219455278,152.0
1002.779430182,151.0
1005.339761105,151.0
1007.894753564,151.0
1010.455101277,151.0
1013.010590947,151.0
1015.570735541,151.0
1018.126062151,151.0
1020.685986821,151.0
1023.241611655,151.0
1025.801640542,151.0
1028.361918117,151.0
1030.917326079,151.0
1033.477253043,151.0
1036.032846012,151.0
1038.59273599,150.0
1041.147969189,150.0
1043.708402681,150.0
1046.268529581,150.0
1048.823909011,150.0
1051.383903048,150.0
1053.93915986,150.0
1056.499300442,150.0
1059.054656809,150.0
1061.615082599,150.0
1064.16999321,150.0
1066.730323449,150.0
1069.290527193,150.0
1071.84580481,150.0
1074.406166292,149.0
1076.961245563,149.0
1079.521677271,149.0
1082.076973908,149.0
1084.637371138,149.0
1087.192131169,149.0
1089.752564528,149.0
1092.312767037,149.0
1094.868084934,149.0
1097.428463005,149.0
1099.983397396,149.0
1102.543637779,149.0
1105.098831025,149.0
1107.658922771,149.0
1110.214405933,149.0
1112.774527141,149.0
1115.3348505,149.0
1117.890173896,148.0
1120.450490085,148.0
1123.005640374,148.0
1125.565769605,148.0
1128.121265201,148.0
1130.681313978,148.0
1133.236582807,148.0
1135.796582729,148.0
1138.356877193,148.0
1140.912577875,148.0
1143.472464408,148.0
1146.027824769,148.0
1148.587890665,148.0
1151.143264683,148.0
1153.703519652,148.0
1156.258358914,148.0
1158.818956394,147.0
1161.37899079,147.0
1163.934441422,147.0
1166.494602642,147.0
1169.049903673,147.0
1171.609995728,147.0
1174.165200902,147.0
1176.725665598,147.0
1179.285670707,147.0
1181.840888978,147.0
1184.401097363,147.0
