Time,CAN2_MCM_C02_EngSpd_Cval_PT_t6,CAN2_MCM_C02_EngTrq_Cval_PT_t6
308.597097369,1408.16,343.8000000000002
308.607092397,1406.56,344.0
308.617094252,1407.68,343.8000000000002
308.627091842,1408.16,344.0
308.637093635,1406.4,344.60000000000036
308.647088193,1406.4,344.40000000000055
308.657091611,1404.8,344.60000000000036
308.667087935,1404.32,345.0
308.677092495,1405.1200000000001,345.2000000000007
308.687087772,1404.8,345.60000000000036
308.697095127,1404.16,345.8000000000002
308.707095967,1403.68,346.0
308.717097916,1400.32,346.2000000000007
308.727089303,1400.64,346.40000000000055
308.737094096,1401.1200000000001,346.40000000000055
308.747091763,1398.08,347.0
308.757095088,1398.4,347.2000000000007
308.767098505,1399.04,347.2000000000007
308.777094066,1398.08,347.60000000000036
308.787091345,1397.1200000000001,347.8000000000002
308.79709411,1396.8,347.8000000000002
308.807017137,1395.3600000000001,348.2000000000007
308.817098544,1395.3600000000001,348.40000000000055
308.827107886,1393.1200000000001,348.60000000000036
308.837093978,1393.1200000000001,349.0
308.847093258,1394.88,349.0
308.857099819,1393.1200000000001,349.40000000000055
308.867099005,1391.04,349.40000000000055
308.877099972,1393.1200000000001,349.2000000000007
308.887095532,1392.64,349.60000000000036
308.8970975,1390.4,350.0
308.907101529,1390.4,349.60000000000036
308.917097731,1390.08,349.8000000000002
308.927109073,1391.84,350.2000000000007
308.937308296,1391.84,350.2000000000007
308.947107648,1391.3600000000001,350.40000000000055
308.957098912,1391.84,350.2000000000007
308.967099489,1392.8,350.2000000000007
308.977098159,1391.68,350.2000000000007
308.987104033,1393.1200000000001,350.2000000000007
308.997097703,1393.6000000000001,350.0
309.007095529,1392.32,350.40000000000055
309.017102028,1393.92,350.0
309.027105073,1396.32,350.0
309.03709818,1396.8,350.40000000000055
309.047095148,1397.44,350.2000000000007
309.057099896,1398.4,350.0
309.067098379,1398.88,350.0
309.077094549,1401.44,349.8000000000002
309.087104626,1400.8,349.60000000000036
309.097097687,1402.88,349.60000000000036
309.107098513,1406.08,349.40000000000055
309.117095012,1406.08,349.40000000000055
309.127090057,1406.88,349.0
309.137122571,1410.4,348.60000000000036
309.147095538,1410.4,348.40000000000055
309.157097396,1410.56,348.40000000000055
309.167088972,1412.32,347.8000000000002
309.177120049,1414.08,348.0
309.187097219,1416.8,348.0
309.197096077,1418.08,347.8000000000002
309.207093513,1419.3600000000001,347.60000000000036
309.217121699,1422.08,347.40000000000055
309.227096353,1423.2,347.2000000000007
309.237093461,1421.6000000000001,347.0
309.247095538,1424.32,346.60000000000036
309.25710038,1424.8,346.60000000000036
309.267090174,1426.08,346.60000000000036
309.277094033,1428.64,346.40000000000055
309.287091906,1429.1200000000001,346.40000000000055
309.297096686,1430.08,346.0
309.3070912,1430.4,345.60000000000036
309.317094198,1430.08,345.40000000000055
309.327093837,1431.68,345.40000000000055
309.337120461,1431.2,345.60000000000036
309.347092131,1429.92,345.60000000000036
309.357096864,1432.64,345.2000000000007
309.367098674,1433.6000000000001,345.2000000000007
309.377120142,1431.84,345.40000000000055
309.387098405,1432.64,345.0
309.39709417,1432.64,345.0
309.407094715,1431.84,345.2000000000007
309.417122386,1432.16,345.2000000000007
309.427219574,1432.32,345.2000000000007
309.437095944,1433.44,345.2000000000007
309.447096131,1433.44,345.2000000000007
309.457099363,1431.3600000000001,345.2000000000007
309.467096658,1433.1200000000001,345.0
309.477099032,1433.44,344.8000000000002
309.487087905,1430.4,345.2000000000007
309.497101373,1431.68,345.0
309.507095621,1431.2,345.0
309.517097978,1430.4,345.40000000000055
309.527092962,1430.56,345.2000000000007
309.53709535,1430.08,345.2000000000007
309.54709402,1429.44,345.40000000000055
309.557095347,1429.6000000000001,345.40000000000055
309.567089751,1427.68,345.40000000000055
309.577095016,1428.64,345.60000000000036
309.587096889,1428.8,345.40000000000055
309.597094856,1427.2,345.8000000000002
309.607092324,1430.4,345.60000000000036
309.617095962,1431.84,345.60000000000036
309.627093352,1429.44,345.8000000000002
309.637092444,1428.8,345.40000000000055
309.647088504,1430.08,345.2000000000007
309.657097347,1429.92,345.40000000000055
309.667099251,1430.56,345.60000000000036
309.677109016,1429.92,345.40000000000055
309.687092389,1432.16,345.40000000000055
309.697096559,1434.08,345.40000000000055
309.707095808,1432.8,345.40000000000055
309.717096149,1433.92,345.2000000000007
309.727094945,1435.3600000000001,344.8000000000002
309.737101334,1433.44,345.0
309.747097504,1434.4,345.0
309.757098737,1436.16,344.60000000000036
309.767376555,1436.64,345.0
309.777099628,1438.08,344.8000000000002
309.787098429,1438.08,344.60000000000036
309.797093512,1438.08,344.40000000000055
309.807230082,1439.84,344.2000000000007
309.817317605,1438.08,344.2000000000007
309.827108759,1438.56,344.2000000000007
309.837100576,1440.32,344.0
309.847096971,1439.2,344.2000000000007
309.857097116,1441.44,344.0
309.867120153,1443.2,343.8000000000002
309.877099141,1442.08,344.0
309.887093239,1442.08,343.60000000000036
309.897101322,1444.16,343.40000000000055
309.907107389,1443.84,343.60000000000036
309.917099081,1444.16,343.60000000000036
309.927116273,1442.56,343.2000000000007
309.937096683,1444.96,343.2000000000007
309.947107782,1447.84,343.2000000000007
309.957094067,1446.08,343.40000000000055
309.967094868,1446.4,343.2000000000007
309.977098654,1448.16,342.60000000000036
309.987109049,1446.88,343.0
309.997101444,1447.68,343.0
310.007099589,1447.84,342.60000000000036
310.017096906,1448.16,342.8000000000002
310.027101568,1449.44,342.60000000000036
310.037095899,1448.64,342.60000000000036
310.047099498,1449.1200000000001,342.60000000000036
310.057103878,1450.08,342.60000000000036
310.067099976,1447.3600000000001,342.60000000000036
310.077094668,1448.16,342.60000000000036
310.087109859,1450.56,342.40000000000055
310.097098645,1449.44,342.8000000000002
310.107099696,1450.56,342.60000000000036
310.11709631,1451.68,342.40000000000055
310.127312242,1450.08,342.40000000000055
310.137093709,1450.08,342.40000000000055
310.147098308,1449.92,342.2000000000007
310.157097281,1449.44,342.40000000000055
310.16710788,1449.92,342.40000000000055
310.177096681,1448.16,342.40000000000055
310.187096764,1451.2,342.40000000000055
310.197097159,1452.64,342.40000000000055
310.207302168,1449.6000000000001,342.60000000000036
310.217094824,1449.6000000000001,342.2000000000007
310.227313053,1450.88,342.0
310.237096426,1450.4,342.40000000000055
310.247111915,1450.56,342.40000000000055
310.257100279,1449.92,342.2000000000007
310.267115003,1451.2,342.2000000000007
310.277096194,1452.64,342.2000000000007
310.28710948,1451.3600000000001,342.2000000000007
310.297094577,1452.32,342.0
310.307318572,1454.4,341.60000000000036
310.317100525,1452.32,341.8000000000002
310.327313253,1454.56,341.60000000000036
310.337134034,1456.64,341.40000000000055
310.347113225,1457.1200000000001,341.40000000000055
310.357098589,1458.88,341.2000000000007
310.367116312,1460.16,340.60000000000036
310.377100504,1460.96,340.60000000000036
310.387141103,1462.08,340.2000000000007
310.397097778,1462.08,340.0
310.407314289,1463.68,339.8000000000002
310.417319777,1465.92,339.40000000000055
310.427317969,1465.92,339.2000000000007
310.43711625,1470.4,338.8000000000002
310.447117942,1472.32,338.40000000000055
310.457097196,1470.88,338.2000000000007
310.467123919,1472.96,337.2000000000007
310.477100721,1475.2,336.8000000000002
310.487123304,1475.68,336.8000000000002
310.497195498,1476.32,336.40000000000055
310.507310005,1477.6000000000001,335.60000000000036
310.517102238,1481.44,335.2000000000007
310.527315186,1482.4,335.0
310.537125467,1481.44,334.40000000000055
310.547151159,1483.3600000000001,333.40000000000055
310.557103209,1484.96,333.0
310.56712723,1483.84,332.8000000000002
310.577115531,1485.6000000000001,332.2000000000007
310.58713202,1485.44,331.60000000000036
310.597123212,1485.92,331.2000000000007
310.607313206,1487.2,330.8000000000002
310.617318304,1487.2,330.40000000000055
310.627318793,1487.68,330.0
310.637128277,1486.72,329.40000000000055
310.647130375,1485.6000000000001,329.2000000000007
310.657317572,1487.3600000000001,328.8000000000002
310.667137946,1485.44,328.40000000000055
310.677121748,1485.1200000000001,328.2000000000007
310.687157737,1486.08,327.60000000000036
310.697124913,1484.64,327.40000000000055
310.707314922,1484.16,327.0
310.717328771,1484.16,326.60000000000036
310.7273184,1482.4,326.40000000000055
310.73715029,1481.44,326.0
310.747183983,1479.2,325.60000000000036
310.757319976,1479.68,325.60000000000036
310.767246666,1479.3600000000001,325.40000000000055
310.777123831,1475.68,325.2000000000007
310.787164499,1475.68,324.8000000000002
310.797229668,1476.96,324.60000000000036
310.807237007,1473.6000000000001,325.0
310.817321504,1472.96,324.60000000000036
310.827331875,1471.3600000000001,324.2000000000007
310.837140428,1471.2,324.60000000000036
310.847148986,1471.2,324.40000000000055
310.857231733,1469.1200000000001,324.40000000000055
310.86715143,1468.32,324.2000000000007
310.877137285,1467.84,324.0
310.887150968,1466.08,324.2000000000007
310.897141432,1467.3600000000001,324.0
310.907325698,1466.08,324.0
310.917233253,1464.16,324.0
310.927331829,1465.44,323.60000000000036
310.937317606,1465.1200000000001,323.8000000000002
310.947154753,1463.3600000000001,324.0
310.957314939,1463.3600000000001,323.60000000000036
310.967181792,1463.2,323.60000000000036
310.977233069,1464.16,323.60000000000036
310.987159422,1464.32,323.40000000000055
310.997132792,1464.16,323.2000000000007
311.007315573,1466.56,323.0
311.017322037,1466.56,323.0
311.027325095,1465.1200000000001,322.8000000000002
311.037241464,1467.68,322.40000000000055
311.047165519,1468.16,322.40000000000055
311.057316893,1467.68,322.40000000000055
311.067160557,1469.1200000000001,322.0
311.077148927,1470.88,322.0
311.087161095,1473.44,321.8000000000002
311.097241561,1473.6000000000001,321.60000000000036
311.107316433,1474.08,321.2000000000007
311.117324882,1476.96,320.8000000000002
311.127317064,1478.08,320.60000000000036
311.137178228,1478.08,320.60000000000036
311.147163395,1480.64,320.0
311.157237345,1480.96,319.8000000000002
311.167163917,1482.72,319.8000000000002
311.177151287,1486.72,319.2000000000007
311.187164362,1487.3600000000001,319.2000000000007
311.197161825,1487.84,319.0
311.207312793,1489.6000000000001,318.40000000000055
311.217324461,1491.3600000000001,318.2000000000007
311.227322425,1493.44,318.0
311.237156792,1492.96,318.0
311.247164849,1496.16,317.60000000000036
311.257310833,1499.2,317.40000000000055
311.267167887,1499.3600000000001,317.40000000000055
311.277152163,1501.1200000000001,316.8000000000002
311.287192128,1502.08,316.40000000000055
311.29717878,1501.44,316.40000000000055
311.307313513,1503.2,316.2000000000007
311.317320837,1504.64,316.0
311.327322988,1506.4,316.0
311.337161652,1507.2,315.8000000000002
311.347173819,1507.2,315.60000000000036
311.357316787,1510.08,315.40000000000055
311.367175247,1510.08,315.2000000000007
311.377159524,1507.84,315.2000000000007
311.387178395,1509.6000000000001,314.60000000000036
311.397160749,1510.4,314.8000000000002
311.407307732,1512.16,315.0
311.417325197,1513.44,314.60000000000036
311.427324364,1513.6000000000001,314.40000000000055
311.437172622,1513.92,314.0
311.447177288,1513.44,313.8000000000002
311.457317256,1513.1200000000001,313.8000000000002
311.46718342,1514.08,313.8000000000002
311.47716329,1512.16,313.8000000000002
