Time,CAN2_TCM_C03_InShaftSpd_Cval_PT_t5
523.797987852,945.6
523.808177131,949.12
523.818201142,971.6800000000001
523.828203293,974.88
523.837974656,995.36
523.847991682,998.24
523.858008943,1014.24
523.867988843,1001.12
523.878004478,999.36
523.887981003,977.6
523.898028514,971.6800000000001
523.908237045,954.4
523.917981423,950.72
523.92820958,944.0
523.937994834,950.72
523.948374869,958.4
523.958148374,970.08
523.968102133,984.16
523.978006515,978.88
523.988114169,983.36
523.998007175,978.24
524.008150454,974.88
524.017990461,974.88
524.028106739,966.4
524.037979621,974.5600000000001
524.048007882,957.6
524.058083534,973.6
524.068004291,958.4
524.078016302,975.36
524.087994702,964.0
524.098032213,976.16
524.108022348,964.0
524.118007248,980.16
524.128006007,962.72
524.137988908,988.96
524.148003918,969.6
524.158082446,986.88
524.168009454,972.96
524.178002839,996.16
524.187978239,982.24
524.19801725,1001.44
524.208033026,978.5600000000001
524.218011785,1003.84
524.228052812,976.48
524.23799657,989.44
524.24801208,972.0
524.258035731,986.5600000000001
524.268001616,970.5600000000001
524.278011251,985.76
524.288006026,959.6800000000001
524.298035912,988.96
524.308057313,961.6
524.318079573,990.5600000000001
524.328013973,959.36
524.337991982,990.88
524.348015993,963.36
524.358100895,990.5600000000001
524.368038154,969.28
524.378028179,993.12
524.388001939,973.6
524.398027339,995.84
524.408069975,978.24
524.418069735,996.16
524.428023384,977.28
524.437998269,999.0400000000001
524.44802228,984.96
524.458190934,1002.24
524.468141958,993.44
524.478136594,1005.12
524.487999475,994.5600000000001
524.498134254,1007.36
524.508047511,987.36
524.518207916,1003.84
524.528025172,990.88
524.538175826,999.0400000000001
524.548027316,995.0400000000001
524.558076844,1004.32
524.568012726,992.16
524.578019377,1004.64
524.588022137,988.96
524.598048538,997.76
524.608078049,991.84
524.618027558,986.5600000000001
524.628046084,995.36
524.638019218,998.24
524.648044995,995.84
524.658087255,995.0400000000001
524.66804103,989.76
524.678028039,995.36
524.688026175,999.36
524.698274957,988.16
524.708096214,995.84
524.718041098,1000.64
524.728041875,1001.44
524.738029885,996.16
524.748060162,1001.76
524.758093299,995.36
524.7680682,1006.24
524.778061461,1001.76
524.788034472,998.24
524.798059374,999.84
524.808069759,1001.76
524.818335058,988.96
524.828283193,995.0400000000001
524.838039823,1001.12
524.848069084,1002.24
524.858153613,997.12
524.868043246,997.76
524.878065133,990.24
524.888031392,1000.64
524.898097421,988.96
524.908289452,1003.84
524.918045832,1001.12
524.928257239,1000.64
524.938100746,993.12
524.948102632,1009.44
524.958124284,996.16
524.968055543,1011.36
