Time,CAN2_CPC_C12_HiResAccelPdlPosn_Cval_t7
130.526492052,0.0
130.536486655,0.0
130.546499555,0.0
130.556490142,0.0
130.566485355,0.0
130.576490442,0.0
130.586492061,0.0
130.59649046,0.0
130.606488954,0.0
130.616488854,0.0
130.626492253,0.0
130.63649156,0.0
130.646490756,0.0
130.656488953,0.0
130.666487462,0.0
130.676492659,0.0
130.686492653,0.0
130.696489661,0.0
130.706488171,0.0
130.716494165,0.0
130.726491471,0.0
130.736492168,0.0
130.746500458,0.0
130.756494061,0.0
130.766487773,0.0
130.776488173,0.0
130.786500464,0.0
130.79663268,0.0
130.806559967,0.0
130.816491569,0.0
130.826496172,0.0
130.836499776,0.0
130.846512973,0.0
130.856629782,0.0
130.866489975,0.0
130.876491985,0.0
130.886489385,0.0
130.896488082,0.0
130.906490686,0.0
130.916627089,0.0
130.926493688,0.0
130.936490385,0.0
130.946498489,0.0
130.956491686,0.0
130.966505383,0.0
130.976618286,0.0
130.986489401,0.0
130.996489302,0.0
131.006513797,0.0
131.016487399,0.0
131.026492909,0.0
131.036625296,0.0
131.046511506,0.0
131.056494999,0.0
131.066487696,0.0
131.076497315,0.0
131.08651731,0.0
131.096627712,0.0
131.106493406,0.0
131.116489603,0.0
131.126520316,0.0
131.136487419,0.0
131.146503913,0.0
131.156629707,0.0
131.166492119,0.0
131.176486519,0.0
131.186492717,0.0
131.196491429,0.0
131.206490626,0.0
131.216488323,0.0
131.22649552,0.0
131.236488717,0.0
131.246518727,0.0
131.256487735,0.0
131.266492323,0.0
131.276489536,0.0
131.286513828,0.0
131.296486836,0.0
131.306489127,0.0
131.316490231,0.0
131.326493536,0.0
131.336488233,0.0
131.346501133,0.0
131.356490534,0.0
131.366485637,0.0
131.37648785,0.0
131.386489047,0.0
131.396490243,0.0
131.406487643,0.0
131.416487153,0.0
131.426492053,0.0
131.436489547,0.0
131.446488744,0.0
131.456488456,0.0
131.466488059,0.0
131.47648885,0.0
131.48649136,0.0
131.49648676,0.0
131.506487364,0.0
131.516489967,0.0
131.526490164,0.0
131.536488063,0.0
131.54650087,0.0
131.556491364,0.0
131.566486467,0.0
131.576487367,0.0
131.586489971,0.0
131.596491371,0.0
131.606491973,0.0
131.616490077,0.0
131.626490477,0.0
131.636492784,0.0
131.646490574,0.0
131.656490178,0.0
131.66648828,0.0
131.67649229,0.0
131.686487284,0.0
131.69649159,0.0
131.706489084,0.0
131.716493188,0.0
131.726490291,0.0
131.736491003,0.0
131.746503795,0.0
131.756494303,0.0
131.766487891,0.0
131.77649201,0.0
131.786499207,0.0
131.796500201,0.0
131.806629604,0.0
131.816492204,0.0
131.826496807,0.0
131.836502207,0.0
131.846496014,0.0
131.85650471,0.0
131.866490704,0.0
131.876491619,0.0
131.886491816,0.0
131.896487012,0.0
131.906494209,0.0
131.916499219,0.0
131.926493228,0.0
131.936490018,0.0
131.946496715,0.0
131.956491615,0.0
131.966490327,0.0
131.976492024,0.0
131.986489126,0.0
131.996491323,0.0
132.006487333,0.0
132.016489935,0.0
132.026490539,0.0
132.036493828,0.0
132.046489135,0.0
132.056491831,0.0
