Time,CAN2_TCM_C08_CurrGr_Stat_PT_t4
121.943545761,1.0
121.963559368,1.0
121.983509975,1.0
122.003373939,1.0
122.02338453,1.0
122.043350512,1.0
122.063347994,1.0
122.083351336,1.0
122.103356693,1.0
122.123374302,1.0
122.143342392,1.0
122.16335325,1.0
122.183350732,1.0
122.203374825,1.0
122.223381557,1.0
122.243363039,1.0
122.263367256,1.0
122.283362863,1.0
122.303368471,1.0
122.323398438,1.0
122.34337517,1.0
122.363392778,1.0
122.383338993,1.0
122.403394227,1.0
122.42361634,1.0
122.443378551,1.0
122.463365907,1.0
122.483373641,1.0
122.503382357,1.0
122.523393215,1.0
122.543395822,1.0
122.563405664,1.0
122.58334552,1.0
122.603408129,1.0
122.623427096,1.0
122.643374453,1.0
122.663371184,1.0
122.683365401,1.0
122.703413134,1.0
122.723395742,1.0
122.743387958,1.0
122.763393691,1.0
122.783359297,1.0
122.803416766,1.0
122.823427498,1.0
122.843385977,1.0
122.863403431,1.0
122.883401152,1.0
122.903414997,1.0
122.923658223,1.0
122.943651318,1.0
122.963644273,1.0
122.983590491,1.0
123.003833217,1.0
123.023424287,1.0
123.043395366,1.0
123.063419836,1.0
123.083405557,1.0
123.103416636,1.0
123.123420482,1.0
123.143411701,1.0
123.163415031,1.0
123.183435377,1.0
123.203440598,1.0
123.223440676,1.0
123.243388271,1.0
123.263446242,1.0
123.283428447,1.0
123.303431416,1.0
123.323463888,1.0
123.343441216,1.0
123.363474063,1.0
123.383396156,1.0
123.403457362,1.0
123.423474957,1.0
123.443632057,1.0
123.463462257,1.0
123.483408601,1.0
123.503462572,1.0
123.523445277,1.0
123.54339337,1.0
123.563436967,1.0
123.583432546,1.0
123.603451767,1.0
123.623488613,1.0
123.643409816,1.0
123.663475912,1.0
123.683467383,1.0
123.703453586,1.0
123.723488808,1.0
123.743447277,1.0
123.763456357,1.0
123.783437076,1.0
123.803460172,1.0
123.823465876,1.0
123.843450846,1.0
123.863462812,1.0
123.883473889,1.0
123.903469855,1.0
123.923480573,1.0
123.943664669,1.0
123.963710636,1.0
123.983643336,1.0
124.003706054,1.0
124.023697771,1.0
124.043448716,1.0
124.063494684,1.0
124.083432508,1.0
124.103491476,1.0
124.123481442,1.0
124.143492769,1.0
124.163507487,1.0
124.183449561,1.0
124.203505404,1.0
124.223518871,1.0
124.243457086,1.0
124.263509538,1.0
124.283464755,1.0
124.303518472,1.0
124.323496813,1.0
124.343485514,1.0
124.363487106,1.0
124.383487073,1.0
124.40349715,1.0
124.423512866,1.0
124.443465692,1.0
124.463731305,1.0
124.483467124,1.0
124.503522343,1.0
124.523505044,1.0
124.543487635,1.0
124.563502227,1.0
124.583493803,1.0
124.603510019,1.0
124.623516737,1.0
124.643497563,1.0
124.66352128,1.0
124.683517371,1.0
124.703514072,1.0
124.723546039,1.0
124.743516506,1.0
124.763515957,1.0
124.783516549,1.0
124.80351864,1.0
124.823531967,1.0
124.843528811,1.0
124.863543038,1.0
124.883491622,1.0
124.903546099,1.0
124.923546074,1.0
124.943539535,1.0
124.963729906,1.0
124.983713741,1.0
125.003752343,1.0
125.023972199,1.0
125.043722153,1.0
125.063520483,1.0
125.083492708,1.0
125.103559686,1.0
125.123558537,1.0
125.143533622,1.0
125.163539597,1.0
125.183528808,1.0
125.203545534,1.0
125.223549885,1.0
125.243534485,1.0
125.263567088,1.0
125.283511796,1.0
125.303571274,1.0
125.323571999,1.0
125.343545334,1.0
125.36355406,1.0
125.383541161,1.0
125.403558621,1.0
125.423569723,1.0
125.443549323,1.0
125.463551783,1.0
125.483774014,1.0
125.503587736,1.0
125.523594196,1.0
125.543555671,1.0
125.563562522,1.0
125.583556357,1.0
125.603569583,1.0
125.623568685,1.0
125.643558519,1.0
125.663580246,1.0
125.683545596,1.0
