Time,CAN2_TCM_C02_Clutch_Cval_PT_t3,CAN2_TCM_C02_Clutch_Stat_TCM_PT_t3
55.27369231,94.0,2.0
55.283712799,94.4,2.0
55.293682021,94.4,2.0
55.303738136,94.4,2.0
55.313683122,94.4,2.0
55.323779863,94.4,2.0
55.333673833,94.4,2.0
55.343716822,94.0,2.0
55.353705934,94.4,2.0
55.363726548,94.4,2.0
55.37370716,94.0,2.0
55.383724524,94.4,2.0
55.393694746,94.4,2.0
55.403759236,94.0,2.0
55.413683346,94.0,2.0
55.423764587,94.0,2.0
55.433679432,94.0,2.0
55.443731421,94.0,2.0
55.453698783,94.4,2.0
55.463718897,94.4,2.0
55.47370612,94.0,2.0
55.483736233,94.4,2.0
55.493689095,94.0,2.0
55.503770585,94.0,2.0
55.513692431,94.4,2.0
55.523777921,94.4,2.0
55.533695782,94.4,2.0
55.543737396,94.0,2.0
55.553743509,94.4,2.0
55.563736622,94.4,2.0
55.573720719,94.0,2.0
55.583739458,94.4,2.0
55.593698445,94.4,2.0
55.603766309,94.4,2.0
55.613703406,94.4,2.0
55.623796773,94.0,2.0
55.633705634,94.0,2.0
55.643743874,94.0,2.0
55.653732096,94.80000000000001,2.0
55.663738836,94.0,2.0
55.673726074,94.0,2.0
55.683744439,94.0,2.0
55.69370591,94.4,2.0
55.703774026,94.4,2.0
55.713716889,94.4,2.0
55.72379963,94.4,2.0
55.733714476,94.4,2.0
55.743755856,95.2,2.0
55.753743829,94.4,2.0
55.763758319,94.0,2.0
55.773745432,93.60000000000001,2.0
55.783769797,94.0,2.0
55.793719768,94.0,2.0
55.803792634,94.0,2.0
55.813731247,93.2,2.0
55.823818613,89.60000000000001,2.0
55.833723583,84.80000000000001,2.0
55.843765698,79.60000000000001,2.0
55.853754062,74.0,2.0
55.863770177,68.4,2.0
55.87375229,62.400000000000006,1.0
55.883766888,57.6,1.0
55.893728751,52.400000000000006,1.0
55.903789366,49.6,1.0
55.913725963,47.6,1.0
55.923834846,46.400000000000006,1.0
55.933718566,45.2,1.0
55.943775556,43.6,1.0
55.953745544,43.2,1.0
55.963776644,42.800000000000004,1.0
55.973750507,43.2,1.0
55.983790622,43.6,1.0
55.993659592,42.400000000000006,1.0
56.003798724,42.400000000000006,1.0
56.013737696,42.0,1.0
56.023822687,42.400000000000006,1.0
56.033724048,42.0,1.0
56.04382279,42.0,1.0
56.053767652,42.0,1.0
56.063771751,41.2,1.0
56.073766115,40.800000000000004,1.0
56.083780854,40.800000000000004,1.0
56.093734451,40.400000000000006,1.0
56.103814207,39.6,1.0
56.113745179,40.0,1.0
56.123830295,40.0,1.0
56.133736531,41.2,1.0
56.143842398,41.6,1.0
56.15377862,42.800000000000004,1.0
56.163799859,43.6,1.0
56.173760222,45.6,1.0
56.183780711,48.400000000000006,1.0
56.193741934,51.6,1.0
56.20380905,54.800000000000004,1.0
56.213769287,58.800000000000004,1.0
56.223854403,61.2,1.0
56.233748124,63.6,1.0
56.243794489,67.2,1.0
56.253807103,70.0,2.0
56.263799467,71.2,2.0
56.273696312,72.4,2.0
56.283794804,74.0,2.0
56.293757792,74.8,2.0
56.303820908,75.2,2.0
56.313755269,77.2,2.0
56.323847636,76.80000000000001,2.0
56.333757482,77.2,2.0
56.343813722,77.60000000000001,2.0
56.353796086,79.2,2.0
56.363812325,79.2,2.0
56.373784047,80.4,2.0
