Time,CAN2_CGW_C1_TotalVehDist_Cval_DIAG_t0
464.087800545,294658.0
465.087816874,294658.0
466.087815096,294658.0
467.087841338,294658.0
468.08790129,294658.0
469.087945007,294658.0
470.088042485,294658.0
471.088137603,294658.0
472.088182613,294658.0
473.08825251,294658.0
474.088325588,294658.0
475.088388354,294658.0
476.088484219,294658.0
477.088746229,294658.0
478.088762144,294658.0
479.088427333,294658.0
480.088453514,294658.0
481.088799902,294658.0
482.088821806,294658.0
483.086534143,294658.0
484.086384356,294658.0
485.086468633,294658.0
486.086577186,294658.0
487.0866266,294658.0
488.086714544,294658.0
489.086798382,294658.0
490.086879075,294658.0
491.086970494,294658.0
492.089204664,294658.0
493.089299582,294658.0
494.089357679,294658.0
495.089447576,294658.0
496.089532545,294658.0
497.089611894,294658.0
498.089687797,294658.0
499.089781159,294658.0
500.089878399,294658.0
501.089972988,294658.0
502.090079149,294658.0
503.090118168,294658.0
504.090230067,294658.0
505.090295739,294658.0
506.090389268,294658.0
507.086804172,294658.0
508.086830503,294658.0
509.086857329,294658.0
510.086882447,294658.0
511.086907377,294658.0
512.086933226,294658.0
513.086966898,294658.0
514.086987418,294658.0
515.087012114,294658.0
516.087036961,294658.0
517.087063664,294658.0
518.087089472,294658.0
519.087113273,294658.0
520.087139087,294658.0
521.087167053,294658.0
521.122220653,294659.0
522.08719272,294659.0
523.087218325,294659.0
524.087242781,294659.0
525.087269007,294659.0
526.087297595,294659.0
527.087323091,294659.0
528.087346881,294659.0
529.087374814,294659.0
530.0873998,294659.0
531.087426048,294659.0
532.087452906,294659.0
533.087477843,294659.0
534.087503676,294659.0
535.08781792,294659.0
536.08783578,294659.0
537.088532142,294659.0
538.088670526,294659.0
539.088692621,294659.0
540.088718521,294659.0
541.088746577,294659.0
542.088770653,294659.0
543.088874186,294659.0
544.088963082,294659.0
545.089059225,294659.0
546.089086277,294659.0
547.088891338,294659.0
548.089138045,294659.0
549.089164617,294659.0
550.089779797,294659.0
551.08943311,294659.0
552.089027741,294659.0
553.089482634,294659.0
554.089504132,294659.0
555.089851759,294659.0
556.08956071,294659.0
557.089586645,294659.0
558.089610507,294659.0
559.089429015,294659.0
560.089065119,294659.0
561.08916348,294659.0
562.089270529,294659.0
563.089143733,294659.0
564.089248417,294659.0
565.089344331,294659.0
566.089210218,294659.0
567.089313149,294659.0
568.089400868,294659.0
569.089238654,294659.0
570.089255183,294659.0
571.089271496,294659.0
572.089296082,294659.0
573.089311599,294659.0
574.089328019,294659.0
575.089350488,294659.0
576.089364585,294659.0
577.089445551,294659.0
578.089409969,294659.0
579.089424475,294659.0
580.089442501,294659.0
581.089460344,294659.0
582.089478766,294659.0
583.089504947,294659.0
584.089519142,294659.0
585.089538414,294659.0
585.110617395,294660.0
586.089562758,294660.0
587.089576304,294660.0
588.089809221,294660.0
589.089830171,294660.0
590.089848632,294660.0
591.089867232,294660.0
592.089886964,294660.0
593.089903095,294660.0
594.089922951,294660.0
595.089946744,294660.0
596.089963336,294660.0
597.089982693,294660.0
598.090170083,294660.0
599.090231944,294660.0
600.090035862,294660.0
601.090057934,294660.0
602.090075403,294660.0
603.090092035,294660.0
604.090109841,294660.0
605.090131563,294660.0
606.090149359,294660.0
607.090172101,294660.0
608.090184417,294660.0
609.090198115,294660.0
610.090223821,294660.0
611.090220275,294660.0
612.0902204,294660.0
613.090234957,294660.0
614.090251309,294660.0
615.090265919,294660.0
616.089865591,294660.0
617.089949995,294660.0
618.090314785,294660.0
619.090333323,294660.0
620.090355594,294660.0
621.090371017,294660.0
622.090446074,294660.0
623.090549495,294660.0
624.090426854,294660.0
625.090519219,294660.0
626.090609011,294660.0
627.090475924,294660.0
628.090580074,294660.0
629.091113932,294660.0
630.090557863,294660.0
631.090657891,294660.0
632.09054631,294660.0
633.090561347,294660.0
634.090627767,294660.0
635.090689266,294660.0
636.090774855,294660.0
