Time,Clutch_Pedal_Travel,Clutch housing Temp,EngTrq_Cval_PT,EngSpd_Cval_PT,HiResAccelPdlPosn_Cval,VehSpd_Cval_PT,InShaft_RPM
125.36,2.545091152,90.09367371,3.200000048,597.4400024,0,0,604.5838623
125.37,2.541941166,90.11940765,3,597.5999756,0,0,584.069458
125.38,2.54349637,90.37572479,2.400000095,598.0800171,0,0,597.0830078
125.39,2.544839382,90.32894897,1,598.8800049,0,0,611.8695679
125.4,2.544917107,90.19428253,0,599.6799927,0,0,592.0205688
125.41,2.544499636,90.20024872,-1.399999976,600.6400146,0,0,586.8085327
125.42,2.545152903,90.23194885,-2.200000048,601.4400024,0,0,605.3143921
125.43,2.542551517,90.23509216,-1.600000024,600.7999878,0,0,597.0264282
125.44,2.543025017,90.21603394,-0.200000003,599.8400269,0,0,583.6019287
125.45,2.544493198,90.15206909,1.200000048,598.5599976,0,0,601.2894897
125.46,2.543519497,90.11128235,2.200000048,598.0800171,0,0,604.6785278
125.47,2.542218685,90.26229858,2.400000095,598.0800171,0,0,585.9689331
125.48,2.542149305,90.39377594,1.600000024,598.5599976,0,0,592.767334
125.49,2.540692806,90.30918121,1.600000024,598.5599976,0,0,606.0880127
125.5,2.544109583,90.1787262,1.799999952,598.4000244,0,0,589.7892456
125.51,2.543635607,90.18103027,2.400000095,597.9199829,0,0,584.4331665
125.52,2.540960312,90.30052948,3.200000048,597.4400024,0,0,602.8191528
125.53,2.543719769,90.26280212,4,596.7999878,0,0,596.2405396
125.54,2.541871786,90.09198761,4,596.7999878,0,0,582.6005249
125.55,2.540539503,90.05268097,5,596.3200073,0,0,600.8889771
125.56,2.544005632,90.18663788,4.400000095,596.7999878,0,0,605.427002
125.57,2.543227911,90.31368256,3.200000048,597.9199829,0,0,588.6757202
125.58,2.541778088,90.22062683,1.200000048,599.3599854,0,0,597.3889771
125.59,2.543233871,90.13807678,-0.600000024,600.6400146,0,0,612.8136597
125.6,2.54322958,90.13170624,-2.799999952,601.9199829,0,0,598.196228
125.61,2.540658474,90.13811493,-4.199999809,602.8800049,0,0,590.109314
125.62,2.541694403,90.3103714,-5,603.6799927,0,0,607.8116455
125.63,2.541140079,90.30686188,-4.599999905,603.3599854,0,0,601.5829468
125.64,2.541432142,90.15988159,-3.599999905,602.4000244,0,0,587.2675781
125.65,2.542398453,90.11268616,-2.599999905,601.5999756,0,0,601.5513306
125.66,2.543480873,90.09675598,-1.799999952,601.4400024,0,0,607.1749268
125.67,2.543824911,90.36833191,-2.200000048,601.5999756,0,0,591.383667
125.68,2.543090343,90.49398804,-2.599999905,602.0800171,0,0,596.4421997
125.69,2.541543722,90.18727112,-3.200000048,602.4000244,0,0,608.3313599
125.7,2.542204857,90.079422,-3.400000095,602.4000244,0,0,594.6530151
125.71,2.541993618,90.17837524,-3,601.9199829,0,0,589.3865967
125.72,2.541637659,90.30177307,-2.799999952,601.9199829,0,0,604.6662598
125.73,2.541009188,90.38606262,-2,601.1199951,0,0,598.8911743
125.74,2.542565107,90.25196075,-1.399999976,600.6400146,0,0,587.0087891
125.75,2.541429281,90.0466156,-0.400000006,599.8400269,0,0,604.4309082
125.76,2.541223526,90.0038147,-0.400000006,599.8400269,0,0,607.8123779
125.77,2.541495562,90.15281677,-1.399999976,600.6400146,0,0,589.772583
125.78,2.542067289,90.25469971,-2.400000095,601.5999756,0,0,600.8074951
125.79,2.541873693,90.2169342,-3.799999952,602.5599976,0,0,613.5405273
125.8,2.537641525,90.12670898,-5,603.3599854,0,0,598.0534058
125.81,2.537381172,90.0617218,-6.599999905,604.3200073,0,0,591.7098389
125.82,2.539247274,90.14234924,-7.800000191,605.1199951,0,0,606.1988525
125.83,2.537858009,90.21922302,-7.199999809,604.6400146,0,0,600.4227295
125.84,2.537791252,90.22314453,-5.400000095,603.3599854,0,0,588.7686768
125.85,2.536556482,90.12211609,-4,602.0800171,0,0,603.4641113
125.86,2.53664279,89.97073364,-3,601.5999756,0,0,604.7164307
125.87,2.536612749,90.11426544,-2.799999952,601.5999756,0,0,588.6281128
125.88,2.533821583,90.33413696,-2.400000095,601.4400024,0,0,595.7155762
125.89,2.536110401,90.32685089,-2.400000095,601.1199951,0,0,606.8841553
125.9,2.534307957,90.15779877,-1.799999952,600.6400146,0,0,593.5251465
125.91,2.536817789,90.03159332,-1,600.1599731,0,0,587.3342285
125.92,2.535809994,90.19160461,-0.800000012,599.8400269,0,0,601.2486572
125.93,2.535633326,90.30216217,0.200000003,599.039978,0,0,597.5990601
125.94,2.538045883,90.19540405,1.200000048,598.4000244,0,0,584.9703369
125.95,2.536783695,90.05961609,2.599999905,597.4400024,0,0,599.5682373
125.96,2.537209511,89.97717285,2.799999952,597.4400024,0,0,603.3115845
125.97,2.534182072,90.13785553,2.200000048,597.9199829,0,0,585.5970459
125.98,2.534103155,90.26415253,1.600000024,598.4000244,0,0,596.0792847
